date,header,time,description,date_entity
27.09.18,"הורים, קחו מהילדים את האופניים החשמליים ",17:51,"16 בני אדם נהרגו ב-2018 אבל המדינה מרשה לזרוק עוד ועוד כלים חשמליים לכבישים ולמדרכות. בלי תשתית, הסברה או חיוב לחבוש קסדה ","ארז קיטה  (תאריך: 27.09.18, שעה: 17:51) "
27.09.18,"מת הנער שנדרס בפגע וברח בת""א: ""ברגעיו האחרונים חגגו לו יום הולדת"" ",11:50,"ארבעה ימים אחרי שנפגע קשה בעת שרכב על אופניו בשדרות רוקח - הלך לעולמו ארי נשר, בנו של הבמאי אבי נשר. המשפחה: ""ברגעיו האחרונים היה מוקף ","רועי רובינשטיין, אלי סניור וואיתי שיקמן  (תאריך: 27.09.18, שעה: 11:50)  "
25.09.18,"הובא למנוחות הפסנתרן החרדי שנהרג בפגע וברח: ""אהוד בקהילה ",17:09,"בלי הספדים: בהר הזיתים בירושלים נטמן חיים טוקצ'ינסקי, שנדרס למוות בתאונת פגע וברח. מנהל הקונסרבטוריון שבו לימד הפסנתרן המחונן סיפר: ""הוא ידע ","ישי פורת  (תאריך: 25.09.18, שעה: 17:09)  "
25.09.18,"עד 14 שנות מאסר: מכת תאונות ה""פגע וברח"" ",16:06,"במהלך החג אירעו שני מקרים קשים של תאונות פגע וברח. איך החוק מתייחס להתנהגות הנהגים לאחר הפגיעה, מה העונש הצפוי למי שלא עצר ולא הזעיק עזרה, ","גלעד מורג  (תאריך: 25.09.18, שעה: 16:06)  "
25.09.18,"העיתונאי הזר שחשוד ב""פגע וברח"" יישאר לילה נוסף במעצר ",00:52,"ביהמ""ש הורה לשחרר למעצר בית של 10 ימים את האזרח הספרדי שדרס למוות הולך רגל בכיכר פריז בירושלים. המשטרה, שטוענת שהוא מודה בנהיגה בשכרות ","ענבר טויזר וישי פורת  (תאריך: 25.09.18, שעה: 00:52)  "
25.09.18,"מעצר החשוד בדריסה בתל אביב הוארך: ""לא לוקח אחריות"" ",00:46,"הנהג החשוד ב""פגע וברח"" בתל אביב יישאר במעצר עד מחר. בפתח הדיון אמר נציג המשטרה כי ""החשוד לא משתף פעולה, לא מביע חרטה ומשבש את החקירה"". בת ","אלי סניור ואיתי שיקמן  (תאריך: 25.09.18, שעה: 00:46)  "
24.09.18,"""דחוף, הם שוכבים פה על הכביש"". שיחת החירום בעקבות הפגע וברח בת""א ",19:59,"עובר אורח שחזה בדריסת שני הנערים בשדרות רוקח התקשר למוקד מד""א: ""דחוף אמבולנס, האופניים מרוסקים"". הנהג החשוד, כדורגלן בליגת העל, יובא הערב ","אלי סניור  (תאריך: 24.09.18, שעה: 19:59)  "
24.09.18,"סוריה תקבל S-300, כדורגלנים חשודים בפגע וברח. סיכום חדשות החג ",19:10,בעקבות משבר הפלת המטוס הודיע שר ההגנה הרוסי על אספקת שורה של אמצעים לאסד. דיווח: פוטין ונתניהו שוחחו בנושא. לילה קטלני בכבישים: הרוג בבאר ,"ynet  (תאריך: 24.09.18, שעה: 19:10)  "
24.09.18,"המשטרה: ""בדמו של הנהג שברח פי 5 אלכוהול מהמותר לנהג צעיר"" ",16:52,"הכדורגלן החשוד בתאונה בת""א הפסיק לשתף פעולה עם חוקריו. בדמו נמדדו 250 מיקרו-גרם אלכוהול - כמות שמותרת לנהג בוגר. גורם במשטרה: ""הבעיה שלו היא ","אלי סניור  (תאריך: 24.09.18, שעה: 16:52)  "
24.09.18,"מכסה מנוע נסגר על היד. ביהמ""ש: זו תאונת דרכים ",07:52,"צעיר שהתכונן לנסיעה נפצע כשבדק שמן ומים. חברת הביטוח ""שלמה סיקסט"" טענה שאין לו עילת תביעה נגדה, אבל השופטת חשבה אחרת ","עו""ד אריה חגאג  (תאריך: 24.09.18, שעה: 07:52) "
